Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
191.63,199.0,199.85,193.79,50991030.0,205.55,206.01,202.25,34317760.0,209.98,210.12,206.75,25289270.0
113.7,113.4,113.66,112.69,21400410.0,113.06,114.31,112.63,29707270.0,112.71,113.05,112.28,21634520.0
215.9,217.71,221.38,216.75,29027340.0,222.6,224.23,214.54,39992120.0,215.83,223.25,214.7,38681170.0
138.85,139.25,139.36,138.64,19578920.0,138.74,138.79,137.05,22117750.0,138.95,139.8,138.82,18695500.0
291.12,284.82,289.98,284.7,23334000.0,284.69,284.89,282.92,12119710.0,280.53,284.25,280.37,24677880.0
193.06,192.45,193.66,192.05,18680930.0,190.68,191.96,189.56,15955820.0,191.78,192.43,190.17,20670830.0
98.97,98.55,99.11,96.76,70722000.0,98.68,100.13,96.43,80742460.0,100.56,102.37,99.87,68384270.0
112.95,117.42,117.7,113.25,123601900.0,121.5,122.57,117.52,69639900.0,122.6,122.64,120.91,42832890.0
106.14,105.66,106.57,105.64,31639010.0,105.8,106.5,105.5,24817940.0,106.62,107.44,106.29,24900130.0
94.94,96.0,96.57,95.03,34355970.0,96.62,96.65,95.3,60793260.0,96.45,97.75,96.07,31251870.0
320.0,315.36,319.75,314.61,38190550.0,324.74,325.98,322.85,20028450.0,324.19,326.22,323.35,23686890.0
289.46,291.12,293.97,288.12,36592940.0,284.82,289.98,284.7,23334000.0,284.69,284.89,282.92,12119710.0
179.37,176.15,179.25,175.07,34260230.0,177.9,179.39,176.14,29512410.0,176.18,177.36,175.65,25302200.0
112.46,113.16,113.8,111.8,35850010.0,113.69,114.64,113.43,29608390.0,113.0,113.18,112.34,24587490.0
160.11,158.47,160.97,158.0,48846060.0,158.99,159.4,158.09,23637310.0,159.87,159.96,157.91,44866280.0
